condition_id,completion_time_s,inlet_velocity_m_s,inlet_temperature_K,cooling_wall_temperature_K,solid_heat_source_MW_m3,pressure_drop_Pa,outlet_temperature_K,outlet_minus_inlet_temperature_K,solid_maximum_temperature_K,solid_maximum_minus_cooling_wall_K,generated_power_W,net_outward_enthalpy_flow_W,net_outward_enthalpy_over_generated,external_fluid_conductive_heat_W,external_solid_conductive_heat_W,total_external_boundary_heat_W,total_external_boundary_heat_over_generated,reconstructed_energy_difference_W,boundary_heat_fallback_used,cooling_wall_heat_into_fluid_W,cooling_wall_heat_over_generated,cooling_wall_heat_direction,relative_mass_difference,relative_energy_difference
u0p20_T900_q4p85,200,0.2,900.0,635.0,4.85,26.568899999998393,742.3919633,-157.60803669999996,891.4706303,256.47063030000004,0.17272693,-0.17227324490000007,-0.9973733968408983,1.362499148185387,-1.707544229,-0.34504508081461305,-1.9976333789676748,-4.4905914612980435e-05,False,-0.2755950688,-1.595553564229967,fluid_to_wall,7.0375996150874076e-09,3.295849004583366e-05
u0p20_T900_q6p85,200,0.2,900.0,635.0,6.85,26.729800000000978,746.7743975,-153.22560250000004,892.092413,257.09241299999996,0.24395453,-0.16743568919999996,-0.6863397420822641,1.328473650252775,-1.739907786,-0.4114341357472251,-1.6865197614786045,-4.3916547225131275e-05,False,-0.2796852486,-1.1464646653620245,fluid_to_wall,6.568417530842806e-09,3.305789860181727e-05
u0p20_T900_q8p85,200,0.2,900.0,635.0,8.85,26.89079999999376,751.149743,-148.85025700000006,892.7142926,257.7142926,0.31518213,-0.16261325139999994,-0.5159342358654659,1.2944373079123659,-1.772275667,-0.47783835908763406,-1.5160705941280175,-4.297768763411591e-05,False,-0.2837769051,-0.9003584851082769,fluid_to_wall,6.568408717129602e-09,3.3201830147714685e-05
u0p25_T300_q4p85,200,0.25,300.0,635.0,4.85,40.95020000000659,511.8750688,211.8750688,634.9101351,-0.08986489999995229,0.17272693,0.822193427191,4.760076655047363,-1.108903603402,1.758374326,0.6494707225980001,3.7601011179785346,4.225407000180148e-06,False,0.2691362706,1.5581604478236255,wall_to_fluid,6.50509053916961e-09,3.8104367117367487e-06
u0p25_T300_q6p85,200,0.25,300.0,635.0,6.85,41.43529999999737,516.1253611,216.12536109999996,634.9134278,-0.08657219999997778,0.24395453,0.842615988715,3.4539878751790343,-1.1314794203649998,1.730145231,0.5986658106350002,2.4540057142410934,4.351920000256193e-06,False,0.2656602,1.0889742445036787,wall_to_fluid,8.881914459643915e-09,3.846221081822525e-06
u0p25_T300_q8p85,200,0.25,300.0,635.0,8.85,41.92160000000149,520.3714529,220.3714529,634.9167275,-0.08327250000002095,0.31518213,0.862944652563,2.737923792072222,-1.154112300558,1.701879272,0.5477669714419999,1.7379379073363073,4.448878999863126e-06,False,0.2621784607,0.8318316165323205,wall_to_fluid,4.503487746361232e-09,3.854805981802762e-06
u0p25_T500_q4p85,200,0.25,500.0,635.0,4.85,35.41009999999369,595.0285876,95.02858760000004,634.9696902,-0.030309800000054565,0.17272693,0.22989553210000002,1.330976774148652,-0.6345966928,0.6917693593,0.05717266650000008,0.33100030493218446,4.064400000058921e-06,False,0.1111924009,0.6437467562238268,wall_to_fluid,4.170122239674723e-09,6.404697733493957e-06
u0p25_T500_q6p85,200,0.25,500.0,635.0,6.85,35.73630000000412,599.451221,99.45122100000003,634.9732596,-0.026740399999994224,0.24395453,0.24177565580000004,0.9910685233022729,-0.663231393142,0.66105693,-0.0021744631419999827,-0.008913395221642258,4.411057999975654e-06,False,0.1073673765,0.4401122475569525,wall_to_fluid,6.255166605586879e-10,6.650858275991215e-06
u0p25_T500_q8p85,200,0.25,500.0,635.0,8.85,36.062999999994645,603.8665363,103.8665363,634.9768335,-0.023166500000002088,0.31518213,0.2536058914,0.804632836893386,-0.691898299854,0.6303268468,-0.061571453054000025,-0.19535197967600518,4.785545999974605e-06,False,0.1035391553,0.32850579219069304,wall_to_fluid,2.08504978862744e-09,6.916545395449621e-06
u0p25_T700_q4p85,200,0.25,700.0,635.0,4.85,33.63529999999446,669.7835941,-30.21640590000004,699.2098582,64.20985819999999,0.17272693,-0.05127090430000003,-0.2968321401879836,0.23900991901129998,-0.4630102288,-0.2240003097887,-1.296846471993105,-2.4754886999711623e-06,False,-0.07164116738,-0.41476547623465543,fluid_to_wall,2.919128732938224e-09,1.0357263456727608e-05
u0p25_T700_q6p85,200,0.25,700.0,635.0,6.85,33.881099999998696,674.1818874,-25.81811259999995,700.2719467,65.27194669999994,0.24395453,-0.043203566299999996,-0.17709679873540365,0.20746482921659998,-0.4946247568,-0.28715992758340003,-1.1771043053941241,-1.8312834000333567e-06,False,-0.07560813412,-0.3099271578191231,fluid_to_wall,2.9191227561018535e-09,7.506658720513846e-06
u0p25_T700_q8p85,200,0.25,700.0,635.0,8.85,34.12709999999788,678.5728979,-21.427102099999956,702.5895403,67.58954029999995,0.31518213,-0.03516491509999997,-0.11157014231739588,0.17590049519849998,-0.5262487136,-0.35034821840150004,-1.1115738649316826,-1.1733015000681135e-06,False,-0.07957723228,-0.2524801526025603,fluid_to_wall,8.757350644387011e-10,3.7226142867557674e-06
u0p25_T900_q4p85,200,0.25,900.0,635.0,4.85,33.36740000000282,743.6515903,-156.34840970000005,891.7794717,256.77947170000004,0.17272693,-0.21361111249999998,-1.2366983683436044,1.336089930717746,-1.722465741,-0.3863758102822539,-2.236917024358934,-3.7767782253894655e-05,False,-0.27771993,-1.6078554166394319,fluid_to_wall,5.629760819196765e-09,2.826739531937819e-05
u0p25_T900_q6p85,200,0.25,900.0,635.0,6.85,33.56570000000647,747.9761084,-152.02389159999996,892.3856268,257.38562679999995,0.24395453,-0.207646644,-0.8511694535862891,1.302842513959858,-1.754480661,-0.45163814704014205,-1.8513210106823679,-3.697304014205205e-05,False,-0.2817642241,-1.1549866448473,fluid_to_wall,6.005068166672222e-09,2.8378748579185684e-05
u0p25_T900_q8p85,200,0.25,900.0,635.0,8.85,33.764200000005076,752.2940235,-147.70597650000002,892.9919234,257.9919234,0.31518213,-0.2017000498,-0.6399476068011851,1.2695826616135197,-1.786500969,-0.5169183073864803,-1.6400622312771358,-3.612758648025016e-05,False,-0.2858101183,-0.9068094003298982,fluid_to_wall,5.629742210533008e-09,2.845626958577941e-05
